,NAME,GEO_ID
0,"Williamson County, Tennessee",0500000US47187
1,"Wilson County, Tennessee",0500000US47189
2,"Houston County, Tennessee",0500000US47083
3,"Humphreys County, Tennessee",0500000US47085
4,"Macon County, Tennessee",0500000US47111
5,"Maury County, Tennessee",0500000US47119
6,"Montgomery County, Tennessee",0500000US47125
7,"Rutherford County, Tennessee",0500000US47149
8,"Robertson County, Tennessee",0500000US47147
9,"Stewart County, Tennessee",0500000US47161
10,"Sumner County, Tennessee",0500000US47165
11,"Trousdale County, Tennessee",0500000US47169
12,"Cheatham County, Tennessee",0500000US47021
13,"Davidson County, Tennessee",0500000US47037
14,"Dickson County, Tennessee",0500000US47043
15,"Simpson County, Kentucky",0500000US21213
16,"Allen County, Kentucky",0500000US21003
17,"Nolensville town, Tennessee",1600000US4753460
18,"Adams city, Tennessee",1600000US4700200
19,"Ashland City town, Tennessee",1600000US4702180
20,"Belle Meade city, Tennessee",1600000US4704620
21,"Oak Hill city, Tennessee",1600000US4754780
22,"Pegram town, Tennessee",1600000US4757480
23,"Portland city, Tennessee",1600000US4760280
24,"Pleasant View city, Tennessee",1600000US4759560
25,"Ridgetop city, Tennessee",1600000US4763140
26,"Berry Hill city, Tennessee",1600000US4705140
27,"Brentwood city, Tennessee",1600000US4708280
28,"Burns town, Tennessee",1600000US4709880
29,"Hendersonville city, Tennessee",1600000US4733280
30,"Kingston Springs town, Tennessee",1600000US4739660
31,"Lafayette city, Tennessee",1600000US4740160
32,"La Vergne city, Tennessee",1600000US4741200
33,"Lebanon city, Tennessee",1600000US4741520
34,"McEwen city, Tennessee",1600000US4744840
35,"Millersville city, Tennessee",1600000US4748980
36,"Mitchellville city, Tennessee",1600000US4749460
37,"Mount Juliet city, Tennessee",1600000US4750780
38,"Mount Pleasant city, Tennessee",1600000US4751080
39,"Murfreesboro city, Tennessee",1600000US4751560
40,"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006
41,"New Johnsonville city, Tennessee",1600000US4752820
42,"Vanleer town, Tennessee",1600000US4776860
43,"Watertown city, Tennessee",1600000US4778320
44,"Waverly city, Tennessee",1600000US4778560
45,"Westmoreland town, Tennessee",1600000US4779420
46,"White Bluff town, Tennessee",1600000US4779980
47,"White House city, Tennessee",1600000US4780200
48,"Eagleville city, Tennessee",1600000US4722360
49,"Erin city, Tennessee",1600000US4724320
50,"Fairview city, Tennessee",1600000US4725440
51,"Forest Hills city, Tennessee",1600000US4727020
52,"Franklin city, Tennessee",1600000US4727740
53,"Gallatin city, Tennessee",1600000US4728540
54,"Goodlettsville city, Tennessee",1600000US4729920
55,"Greenbrier town, Tennessee",1600000US4730960
56,"Cedar Hill city, Tennessee",1600000US4711980
57,"Charlotte town, Tennessee",1600000US4713080
58,"Clarksville city, Tennessee",1600000US4715160
59,"Coopertown town, Tennessee",1600000US4716980
60,"Columbia city, Tennessee",1600000US4716540
61,"Cumberland City town, Tennessee",1600000US4718820
62,"Cross Plains city, Tennessee",1600000US4718420
63,"Dover city, Tennessee",1600000US4721400
64,"Smyrna town, Tennessee",1600000US4769420
65,"Slayden town, Tennessee",1600000US4769080
66,"Springfield city, Tennessee",1600000US4770500
67,"Spring Hill city, Tennessee",1600000US4770580
68,"Tennessee Ridge town, Tennessee",1600000US4773460
69,"Thompson's Station town, Tennessee",1600000US4773900
70,"Dickson city, Tennessee",1600000US4720620
71,"Franklin city, Kentucky",1600000US2128918
72,"Scottsville city, Kentucky",1600000US2169114
73,Tennessee,0400000US47
74,United States,0100000US
